mode,step,condition,sampling_rate,measurement_sigma,samples,mse
variance,1000,correct,1.0,0.0,40,0.06747139245271683
variance,1000,correct,1.0,0.01,40,0.06753873527050018
variance,1000,correct,1.0,0.03,40,0.06833762973546982
variance,1000,correct,1.0,0.05,40,0.07000663578510284
variance,1000,correct,1.0,0.07,40,0.07228052616119385
variance,1000,correct,1.0,0.09,40,0.07544686496257783
variance,1000,correct,2.0,0.0,40,0.07645576000213623
variance,1000,correct,2.0,0.01,40,0.07656210064888
variance,1000,correct,2.0,0.03,40,0.07727599292993545
variance,1000,correct,2.0,0.05,40,0.07894882410764695
variance,1000,correct,2.0,0.07,40,0.08110955953598023
variance,1000,correct,2.0,0.09,40,0.08505824357271194
variance,1000,correct,3.0,0.0,40,0.05939034074544906
variance,1000,correct,3.0,0.01,40,0.05947263687849045
variance,1000,correct,3.0,0.03,40,0.06017316281795502
variance,1000,correct,3.0,0.05,40,0.06154961585998535
variance,1000,correct,3.0,0.07,40,0.06379342526197433
variance,1000,correct,3.0,0.09,40,0.06683090180158616
variance,2000,correct,1.0,0.0,40,0.13331210017204284
variance,2000,correct,1.0,0.01,40,0.13317122161388398
variance,2000,correct,1.0,0.03,40,0.13214902877807616
variance,2000,correct,1.0,0.05,40,0.12964580357074737
variance,2000,correct,1.0,0.07,40,0.12617587447166442
variance,2000,correct,1.0,0.09,40,0.12147932946681976
variance,2000,correct,2.0,0.0,40,0.1479412019252777
variance,2000,correct,2.0,0.01,40,0.1477874517440796
variance,2000,correct,2.0,0.03,40,0.14667178094387054
variance,2000,correct,2.0,0.05,40,0.14438144862651825
variance,2000,correct,2.0,0.07,40,0.14071229994297027
variance,2000,correct,2.0,0.09,40,0.13619084358215333
variance,2000,correct,3.0,0.0,40,0.1319991260766983
variance,2000,correct,3.0,0.01,40,0.13185069859027862
variance,2000,correct,3.0,0.03,40,0.1306066930294037
variance,2000,correct,3.0,0.05,40,0.12809147834777831
variance,2000,correct,3.0,0.07,40,0.12423278987407685
variance,2000,correct,3.0,0.09,40,0.11898103356361389
